20 20 3 true false
LIS 11 14 3 0 false
LIS 13 6 3 0 false
LIS 8 7 3 0 false
LIS 10 4 3 0 false
LIS 10 5 3 0 false
LIS 10 8 3 0 false
LIS 12 17 3 0 false
LIS 9 12 3 0 false
LIS 15 9 3 0 false
WILK 16 18 9 0 false
WILK 3 4 9 0 false
WILK 14 3 9 0 false
WILK 2 5 9 0 false
WILK 4 11 9 0 false
WILK 7 1 9 0 false
WILK 15 13 9 0 false
WILK 4 15 9 0 false
WILK 6 2 9 0 false
WILK 1 18 9 0 false
WILK 6 18 9 0 false
WILK 1 15 9 0 false
WILK 0 4 9 0 false
WILK 5 18 9 0 false
WILK 2 4 9 0 false
WILK 19 2 9 0 false
WILK 16 15 9 0 false
CZLOWIEK 11 15 5 0 false 0 0 false true
CYBER_OWCA 12 2 11 0 false
CYBER_OWCA 5 14 11 0 false
ANTYLOPA 8 14 4 0 false
CYBER_OWCA 16 0 11 0 false
CYBER_OWCA 0 7 11 0 false
ANTYLOPA 19 9 4 0 false
CYBER_OWCA 3 12 11 0 false
CYBER_OWCA 3 13 11 0 false
ANTYLOPA 17 12 4 0 false
CYBER_OWCA 14 16 11 0 false
OWCA 0 5 4 0 false
CYBER_OWCA 15 2 11 0 false
ANTYLOPA 2 2 4 0 false
ANTYLOPA 2 10 4 0 false
OWCA 10 16 4 0 false
OWCA 9 18 4 0 false
CYBER_OWCA 18 14 11 0 false
ANTYLOPA 19 3 4 0 false
ANTYLOPA 18 13 4 0 false
CYBER_OWCA 15 0 11 0 false
OWCA 13 12 4 0 false
CYBER_OWCA 5 17 11 0 false
OWCA 2 17 4 0 false
OWCA 15 3 4 0 false
CYBER_OWCA 17 13 11 0 false
CYBER_OWCA 17 11 11 0 false
OWCA 9 19 4 0 false
OWCA 15 16 4 0 false
ANTYLOPA 5 11 4 0 false
ANTYLOPA 9 9 4 0 false
OWCA 2 19 4 0 false
CYBER_OWCA 1 13 11 0 false
OWCA 7 17 4 0 false
CYBER_OWCA 1 12 11 0 false
ANTYLOPA 9 0 4 0 false
CYBER_OWCA 8 5 11 0 false
ANTYLOPA 7 15 4 0 false
ANTYLOPA 19 13 4 0 false
CYBER_OWCA 1 8 11 0 false
ANTYLOPA 13 14 4 0 false
CYBER_OWCA 9 4 11 0 false
CYBER_OWCA 17 10 11 0 false
OWCA 18 8 4 0 false
OWCA 11 18 4 0 false
ANTYLOPA 6 11 4 0 false
ANTYLOPA 7 8 4 0 false
OWCA 18 18 4 0 false
ANTYLOPA 16 8 4 0 false
CYBER_OWCA 8 3 11 0 false
ANTYLOPA 10 18 4 0 false
OWCA 1 1 4 0 false
ANTYLOPA 3 19 4 0 false
OWCA 0 13 4 0 false
OWCA 7 12 4 0 false
ANTYLOPA 8 0 4 0 false
ANTYLOPA 14 14 4 0 false
CYBER_OWCA 4 14 11 0 false
ANTYLOPA 7 18 4 0 false
CYBER_OWCA 6 3 11 0 false
ANTYLOPA 4 18 4 0 false
ZOLW 11 16 2 0 false
ZOLW 8 4 2 0 false
ZOLW 5 10 2 0 false
ZOLW 19 11 2 0 false
ZOLW 12 13 2 0 false
ZOLW 19 1 2 0 false
ZOLW 5 0 2 0 false
ZOLW 8 12 2 0 false
ZOLW 16 19 2 0 false
ZOLW 0 16 2 0 false
ZOLW 0 6 2 0 false
ZOLW 19 12 2 0 false
ZOLW 11 4 2 0 false
ZOLW 0 3 2 0 false
WILCZE_JAGODY 7 5 99 0 false
TRAWA 7 6 0 0 false
GUARANA 8 15 0 0 false
GUARANA 6 0 0 0 false
GUARANA 15 5 0 0 false
TRAWA 16 7 0 0 false
WILCZE_JAGODY 8 13 99 0 false
MLECZ 17 7 0 0 false
GUARANA 2 7 0 0 false
BARSZCZ_SOSNOWSKIEGO 11 7 10 0 false
TRAWA 14 4 0 0 false
WILCZE_JAGODY 2 3 99 0 false
WILCZE_JAGODY 7 3 99 0 false
MLECZ 6 12 0 0 false
BARSZCZ_SOSNOWSKIEGO 16 6 10 0 false
GUARANA 14 11 0 0 false
GUARANA 5 8 0 0 false
BARSZCZ_SOSNOWSKIEGO 0 11 10 0 false
MLECZ 10 13 0 0 false
GUARANA 9 14 0 0 false
TRAWA 2 14 0 0 false
WILCZE_JAGODY 8 16 99 0 false
MLECZ 12 0 0 0 false
TRAWA 8 10 0 0 false
MLECZ 13 1 0 0 false
WILCZE_JAGODY 3 14 99 0 false
WILCZE_JAGODY 13 13 99 0 false
MLECZ 11 12 0 0 false
MLECZ 5 15 0 0 false
GUARANA 7 4 0 0 false
BARSZCZ_SOSNOWSKIEGO 4 13 10 0 false
MLECZ 7 19 0 0 false
MLECZ 6 8 0 0 false
WILCZE_JAGODY 8 8 99 0 false
WILCZE_JAGODY 9 8 99 0 false
GUARANA 16 4 0 0 false
BARSZCZ_SOSNOWSKIEGO 16 1 10 0 false
WILCZE_JAGODY 4 2 99 0 false
WILCZE_JAGODY 16 3 99 0 false
BARSZCZ_SOSNOWSKIEGO 1 7 10 0 false
GUARANA 4 0 0 0 false
WILCZE_JAGODY 5 12 99 0 false
WILCZE_JAGODY 5 13 99 0 false
TRAWA 12 5 0 0 false
GUARANA 3 17 0 0 false
MLECZ 9 15 0 0 false
BARSZCZ_SOSNOWSKIEGO 2 12 10 0 false
TRAWA 13 7 0 0 false
MLECZ 17 1 0 0 false
BARSZCZ_SOSNOWSKIEGO 12 10 10 0 false
TRAWA 4 1 0 0 false
WILCZE_JAGODY 18 12 99 0 false
MLECZ 10 6 0 0 false
GUARANA 13 9 0 0 false
BARSZCZ_SOSNOWSKIEGO 16 2 10 0 false
BARSZCZ_SOSNOWSKIEGO 5 3 10 0 false
WILCZE_JAGODY 2 11 99 0 false
GUARANA 4 10 0 0 false
TRAWA 3 8 0 0 false
MLECZ 1 19 0 0 false
MLECZ 11 3 0 0 false
MLECZ 5 9 0 0 false
TRAWA 10 0 0 0 false
BARSZCZ_SOSNOWSKIEGO 0 0 10 0 false
WILCZE_JAGODY 19 14 99 0 false
WILCZE_JAGODY 13 15 99 0 false
MLECZ 6 9 0 0 false
MLECZ 12 7 0 0 false
WILCZE_JAGODY 17 9 99 0 false
WILCZE_JAGODY 9 6 99 0 false
MLECZ 0 15 0 0 false
WILCZE_JAGODY 3 5 99 0 false
BARSZCZ_SOSNOWSKIEGO 17 2 10 0 false
WILCZE_JAGODY 17 15 99 0 false
BARSZCZ_SOSNOWSKIEGO 6 6 10 0 false
MLECZ 6 16 0 0 false
TRAWA 12 19 0 0 false
BARSZCZ_SOSNOWSKIEGO 12 1 10 0 false
BARSZCZ_SOSNOWSKIEGO 5 16 10 0 false
WILCZE_JAGODY 2 9 99 0 false
WILCZE_JAGODY 0 9 99 0 false
GUARANA 6 1 0 1 false
GUARANA 15 4 0 1 false
GUARANA 15 11 0 1 false
GUARANA 4 8 0 1 false
TRAWA 2 15 0 1 false
TRAWA 12 6 0 1 false
TRAWA 3 1 0 1 false
WILCZE_JAGODY 18 11 99 1 false
GUARANA 14 9 0 1 false
GUARANA 4 9 0 1 false
WILCZE_JAGODY 7 2 99 2 false
GUARANA 14 10 0 2 false
TRAWA 9 10 0 2 false
MLECZ 13 2 0 2 false
WILCZE_JAGODY 5 2 99 2 false
TRAWA 13 8 0 2 false
TRAWA 5 1 0 2 false
GUARANA 3 10 0 2 false
TRAWA 2 16 0 2 false
GUARANA 7 0 0 3 false
WILCZE_JAGODY 3 3 99 3 false
GUARANA 10 14 0 3 false
TRAWA 8 9 0 3 false
GUARANA 17 4 0 3 false
TRAWA 12 4 0 3 false
GUARANA 3 16 0 3 false
MLECZ 10 7 0 3 false
TRAWA 3 7 0 3 false
TRAWA 11 0 0 3 false
GUARANA 14 8 0 3 false
GUARANA 3 9 0 3 false
GUARANA 15 10 0 3 false
TRAWA 10 10 0 3 false
GUARANA 3 11 0 3 false
